num,"time","in_fuel","out_power"
10,"08.02.2018 3:09","0,49102","-0,353733"
20,"08.02.2018 3:19","0,489224","0,0759544"
30,"08.02.2018 3:29","0,48898","-0,353733"
40,"08.02.2018 3:39","0,490775","-0,234375"
50,"08.02.2018 3:49","0,497888","0,0998268"
60,"08.02.2018 3:59","0,497764","-0,234375"
70,"08.02.2018 4:09","0,488858","-0,16276"
80,"08.02.2018 4:19","0,490568","-0,449219"
90,"08.02.2018 4:29","0,488774","-0,138889"
100,"08.02.2018 4:39","0,48853","-0,234375"
110,"08.02.2018 4:49","0,490323","-0,186632"
120,"08.02.2018 4:59","0,490446","-0,258247"
130,"08.02.2018 5:09","0,486731","-0,0911465"
140,"08.02.2018 5:19","0,490446","0,0282116"
150,"08.02.2018 5:29","0,49743","-0,115017"
160,"08.02.2018 5:39","0,488286","-0,0911465"
170,"08.02.2018 5:49","0,488164","-0,138889"
180,"08.02.2018 5:59","0,490078","-0,210505"
190,"08.02.2018 6:09","0,490078","0,266928"
200,"08.02.2018 6:19","0,488286","-0,0434036"
210,"08.02.2018 6:29","0,488286","-0,30599"
220,"08.02.2018 6:39","0,489833","-0,0911465"
230,"08.02.2018 6:49","0,488042","-0,282118"
240,"08.02.2018 6:59","0,489833","-0,0672741"
250,"08.02.2018 7:09","0,489833","-0,258247"
260,"08.02.2018 7:19","0,489833","-0,234375"
270,"08.02.2018 7:29","0,496559","-0,377604"
280,"08.02.2018 7:39","0,500068","-0,401476"
290,"08.02.2018 7:49","0,494795","-0,210505"
300,"08.02.2018 7:59","0,487675","-0,138889"
310,"08.02.2018 8:09","0,494795","-0,0434036"
320,"08.02.2018 8:19","0,489465","0,0282116"
330,"08.02.2018 8:29","0,494547","-0,0672741"
340,"08.02.2018 8:39","0,494547","-0,0911465"
350,"08.02.2018 8:49","0,494586","0,052084"
360,"08.02.2018 8:59","0,505159","-0,329861"
370,"08.02.2018 9:09","0,499692","-0,353733"
380,"08.02.2018 9:19","0,499441","-0,115017"
390,"08.02.2018 9:29","0,506632","-0,234375"
400,"08.02.2018 9:39","0,499692","-0,30599"
410,"08.02.2018 9:49","0,504906","-0,186632"
420,"08.02.2018 9:59","0,499315","0,243055"
430,"08.02.2018 10:09","0,504525","0,052084"
440,"08.02.2018 10:19","0,504612","-0,0672741"
450,"08.02.2018 10:29","0,499401","-0,282118"
460,"08.02.2018 10:39","0,504612","-0,210505"
470,"08.02.2018 10:49","0,499235","0,052084"
480,"08.02.2018 10:59","0,502714","-0,138889"
490,"08.02.2018 11:09","0,504444","0,00434113"
500,"08.02.2018 11:19","0,506169","-0,401476"
510,"08.02.2018 11:29","0,499235","0,00434113"
520,"08.02.2018 11:39","0,5028","-0,234375"
530,"08.02.2018 11:49","0,5028","0,052084"
540,"08.02.2018 11:59","0,493806","-0,449219"
550,"08.02.2018 12:09","0,499069","0,00434113"
560,"08.02.2018 12:19","0,499069","-0,258247"
570,"08.02.2018 12:29","0,504277","0,00434113"
580,"08.02.2018 12:39","0,493806","0,195313"
590,"08.02.2018 12:49","0,498943","-0,186632"
600,"08.02.2018 12:59","0,493891","-0,329861"
610,"08.02.2018 13:09","0,505833","-0,16276"
620,"08.02.2018 13:19","0,493642","0,14757"
630,"08.02.2018 13:29","0,504109","-0,186632"
640,"08.02.2018 13:39","0,50238","-0,0911465"
650,"08.02.2018 13:49","0,503982","-0,258247"
660,"08.02.2018 13:59","0,504109","-0,115017"
670,"08.02.2018 14:09","0,490103","-0,61632"
680,"08.02.2018 14:19","0,498525","-0,377604"
690,"08.02.2018 14:29","0,498611","-0,115017"
700,"08.02.2018 14:39","0,493602","-0,138889"
710,"08.02.2018 14:49","0,498611","0,243055"
720,"08.02.2018 14:59","0,498611","-0,0195313"
730,"08.02.2018 15:09","0,251096","-0,138889"
740,"08.02.2018 15:19","0,254737","0,0998268"
750,"08.02.2018 15:29","0,252265","-0,138889"
760,"08.02.2018 15:39","0,248199","-0,425346"
770,"08.02.2018 15:49","0,254605","-0,186632"
780,"08.02.2018 15:59","0,248156","0,0282116"
790,"08.02.2018 16:09","0,255351","0,0998268"
800,"08.02.2018 16:19","0,25377","-0,138889"
810,"08.02.2018 16:29","0,248156","-0,234375"
820,"08.02.2018 16:39","0,252179","0,362413"
830,"08.02.2018 16:49","0,252179","-0,592447"
840,"08.02.2018 16:59","0,252179","-0,0911465"
850,"08.02.2018 17:09","0,247344","-0,0911465"
860,"08.02.2018 17:19","0,252179","-0,186632"
870,"08.02.2018 17:29","0,248156","-0,0911465"
880,"08.02.2018 17:39","0,252179","-0,234375"
890,"08.02.2018 17:49","0,246529","-0,258247"
900,"08.02.2018 17:59","0,248156","0,0759544"
910,"08.02.2018 18:09","0,252179","0,052084"
920,"08.02.2018 18:19","0,252179","0,195313"
930,"08.02.2018 18:29","0,247344","-0,282118"
940,"08.02.2018 18:39","0,250851","-0,16276"
950,"08.02.2018 18:49","0,250578","-0,0195313"
960,"08.02.2018 18:59","0,248156","-0,282118"
970,"08.02.2018 19:09","0,248156","0,171442"
980,"08.02.2018 19:19","0,248156","-0,425346"
990,"08.02.2018 19:29","0,250046","-0,16276"
1000,"08.02.2018 19:39","0,248427","-0,0911465"
1010,"08.02.2018 19:49","0,248156","-0,0911465"
1020,"08.02.2018 19:59","0,248156","-0,30599"
1030,"08.02.2018 20:09","0,250578","-0,329861"
1040,"08.02.2018 20:19","0,250578","-0,329861"
1050,"08.02.2018 20:29","0,248427","-0,138889"
1060,"08.02.2018 20:39","0,250535","-0,520834"
1070,"08.02.2018 20:49","0,250535","-0,0911465"
1080,"08.02.2018 20:59","0,248114","-0,0911465"
1090,"08.02.2018 21:09","0,250535","0,0759544"
1100,"08.02.2018 21:19","0,248114","-0,16276"
1110,"08.02.2018 21:29","0,250535","-0,0911465"
1120,"08.02.2018 21:39","0,254518","-0,138889"
1130,"08.02.2018 21:49","0,248114","-0,16276"
1140,"08.02.2018 21:59","0,250808","-0,282118"
1150,"08.02.2018 22:09","0,254796","-0,186632"
1160,"08.02.2018 22:19","0,254518","0,219185"
1170,"08.02.2018 22:29","0,254518","-0,115017"
1180,"08.02.2018 22:39","0,250808","-0,0911465"
1190,"08.02.2018 22:49","0,250808","-0,0195313"
1200,"08.02.2018 22:59","0,254518","0,0282116"
1210,"08.02.2018 23:09","0,250003","-0,0434036"
1220,"08.02.2018 23:19","0,251336","-0,377604"
1230,"08.02.2018 23:29","0,254796","-0,0672741"
1240,"08.02.2018 23:39","0,254474","0,123697"
1250,"08.02.2018 23:49","0,25396","-0,115017"
1260,"08.02.2018 23:59","0,247259","0,0282116"
1270,"09.02.2018 0:09","0,255542","-0,0672741"
1280,"09.02.2018 0:19","0,255263","0,219185"
1290,"09.02.2018 0:29","0,254752","0,0759544"
1300,"09.02.2018 0:39","0,254474","-0,0434036"
1310,"09.02.2018 0:49","0,250491","-0,282118"
1320,"09.02.2018 0:59","0,250491","-0,234375"
1330,"09.02.2018 1:09","0,254474","-0,329861"
